"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c8","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Aggressive-Not aggressive",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c8","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Aggressive-Not aggressive",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c8","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Aggressive-Not aggressive",NA,"Not aggressive",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c10","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Threatening-Not threatening",NA,"Threatening",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c10","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Threatening-Not threatening",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c10","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Threatening-Not threatening",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c10","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Threatening-Not threatening",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c10","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Threatening-Not threatening",NA,"Not threatening",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c11","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Unfriendly-Friendly",NA,"Unfriendly",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c11","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Unfriendly-Friendly",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c11","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Unfriendly-Friendly",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c11","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Unfriendly-Friendly",NA,NA,4
