"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"silva_2022_crsy","silva_2022_crsy_1","crsy_05","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There are opportunities to participate in local initiatives.",NA,NA,5
"silva_2022_crsy","silva_2022_crsy_1","crsy_06","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my region there are many job opportunities.",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_06","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my region there are many job opportunities.",NA,NA,2
"silva_2022_crsy","silva_2022_crsy_1","crsy_06","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my region there are many job opportunities.",NA,NA,3
"silva_2022_crsy","silva_2022_crsy_1","crsy_06","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my region there are many job opportunities.",NA,NA,4
"silva_2022_crsy","silva_2022_crsy_1","crsy_06","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my region there are many job opportunities.",NA,NA,5
"silva_2022_crsy","silva_2022_crsy_1","crsy_07","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There is a lot of help among the people in my community.",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_07","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There is a lot of help among the people in my community.",NA,NA,2
"silva_2022_crsy","silva_2022_crsy_1","crsy_07","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There is a lot of help among the people in my community.",NA,NA,3
"silva_2022_crsy","silva_2022_crsy_1","crsy_07","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There is a lot of help among the people in my community.",NA,NA,4
"silva_2022_crsy","silva_2022_crsy_1","crsy_07","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"There is a lot of help among the people in my community.",NA,NA,5
"silva_2022_crsy","silva_2022_crsy_1","crsy_08","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, people are accepted equally, regardless of ethnicity, gender or other differences.",NA,NA,1
"silva_2022_crsy","silva_2022_crsy_1","crsy_08","Community Resilience Scale for Youth (CRS-Y)","Portuguese",NA,NA,"In my community, people are accepted equally, regardless of ethnicity, gender or other differences.",NA,NA,2
