"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,"Strongly Agree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,NA,3
