source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0147655,Impacts of Perinatal Dioxin Exposure on Motor Coordination and Higher Cognitive Development in Vietnamese Preschool Children: A Five-Year Follow-Up,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0147655,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Minimum data of the study.   https://doi.org/10.1371/journal",A minimum dataset for the present study is attached as a supplementary file.,,journal.pone.0147655_S1_Dataset.xlsx,4460.0,2.0,25.0,89.2,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0306889,Cold therapy and pain relief after hot-iron disbudding in dairy calves,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306889,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Cold therapy and pain relief after hot-iron disbudding in dairy calves', 'Unnamed: 1'] | SI caption: Dataset.   https://doi.org/10.1371/journal.pone.0306889.s001",All relevant data are within the manuscript and its  Supporting Information  files. The dataset and relevant statistical codes have been uploaded as part of the electronic supplementary information and are available to reviewers and to anyone at publication.,,journal.pone.0306889_S1_File.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0152048,Pull or Push? Octopuses Solve a Puzzle Problem,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0152048,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Animal' as fallback — verify this is the person identifier. | Detected trial_* columns (['trial_length', 'trial_bin']). This may be trials-based data (IRW standard §Trials). The item column will be uninformative; trial_ columns carry the prob",All data is uploaded as supporting files.,,journal.pone.0152048_S1_Data.sav,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0266200,Establishing the psychometric properties of constructs from the conceptual ‘Settlement Services Literacy’ framework and their relationship with migrants’ acculturative stress in Australia,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266200,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'ÿþR' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['ÿþR'] | SI caption: https://doi.org/10.1371/journal.pone.0266200.s003",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0266200_S1_Dataset.csv,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0290030,Examining the effect of moderating variables on autonomous public van acceptance model (APVAM),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0290030,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Raw data.    The minimal data set. 
  https://doi.org/10.137",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0290030_S1_File.xlsx,41171.0,15.0,51.0,53.8183,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0122926,"More Dialectical Thinking, Less Creativity? The Relationship between Dialectical Thinking Style and Creative Personality: The Case of China",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122926,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0122926.s001",The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the Supporting Information files.,,journal.pone.0122926_S1_Dataset.sav,3423.0,22.0,7.0,22.2273,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0187586,How accurately can other people infer your thoughts—And does culture matter?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187586,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Raw data for main study.    A spreadsheet of data that analy",All relevant data are within the paper and its supporting information files.,,journal.pone.0187586_S1_Data.csv,17920.0,112.0,5.0,32.0,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0115285,Reward Associated with Singing Behavior Correlates with Opioid-Related Gene Expression in the Medial Preoptic Nucleus in Male European Starlings,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115285,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Table S1. Results of Sanger sequencing of the qPCR reaction product for each gene', 'Unnamed: 1'] | SI caption: Results of Sanger sequencing of the qPCR reaction product fo",The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the paper and its Supporting Information files.,,journal.pone.0115285_S1_Table.xlsx,,,,,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0215564,Daily eudaimonic well-being as a predictor of daily performance: A dynamic lens,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215564,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, multi_scale* | SI caption: Dataset file.   https://doi.org/10.1371/journal.pone.0215564",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0215564_S1_Dataset.xlsx,6142.0,7.0,74.0,11.8571,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0340290,The identity blueprint: Decoding the professional identity of Basic Sciences Medical Teachers in Pakistan by developing and pilot testing a questionnaire,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0340290,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values* | SI caption: Dataset used for statistical analyses.   https://doi.org/10.",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0340290_S1_Data.csv,7224.0,2.0,24.0,150.5,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
