source,title,doi,published,url
figshare,<p>Exploratory Factor Analysis of the RMS-T.</p>,10.1371/journal.pone.0355733.t003,2026-08-06T17:38:32Z,https://plos.figshare.com/articles/dataset/_p_Exploratory_Factor_Analysis_of_the_RMS-T_p_/33178104
figshare,mind wandering and depression,10.6084/m9.figshare.21070342.v8,2026-08-06T06:14:41Z,https://figshare.com/articles/dataset/mind_wandering_and_depression/21070342
figshare,Supplementary materials for the article “Exploring AI’s processing of and responses to metaphors in health-related conversations: A pragmatic analysis of cancer and depression discourse” published in Journal of Pragmatics,10.6084/m9.figshare.29145239.v1,2026-08-06T03:43:44Z,https://figshare.com/articles/dataset/Supplementary_materials_for_the_article_Exploring_AI_s_processing_of_and_responses_to_metaphors_in_health-related_conversations_A_pragmatic_analysis_of_cancer_and_depression_discourse_published_in_Journal_of_Pragmatics/29145239
figshare,"Dataset from  Liedhegner, ES, Stuhr, KL, Doncheck, EM, Tinklenberg, J, Pollock, S, Sterrett, J, Gunduz-Cinar, O, Hillard, CJ.<sup> </sup> Sterol carrier protein 2 loss reduces anxiety and enhances fear extinction.  J Affect Disord. 2026 Nov 1:412:122144",10.6084/m9.figshare.33169649.v1,2026-08-05T18:36:26Z,https://figshare.com/articles/dataset/Dataset_from_Liedhegner_ES_Stuhr_KL_Doncheck_EM_Tinklenberg_J_Pollock_S_Sterrett_J_Gunduz-Cinar_O_Hillard_CJ_sup_sup_Sterol_carrier_protein_2_loss_reduces_anxiety_and_enhances_fear_extinction_J_Affect_Disord_2026_Nov_1_412_122144/33169649
figshare,"The effect of online physical activity monitoring on physical activity level, psychological health, fatigue, and quality of life in patients with multiple sclerosis: a randomized controlled trial",10.6084/m9.figshare.33164410.v1,2026-08-05T11:44:09Z,https://tandf.figshare.com/articles/dataset/The_effect_of_online_physical_activity_monitoring_on_physical_activity_level_psychological_health_fatigue_and_quality_of_life_in_patients_with_multiple_sclerosis_a_randomized_controlled_trial/33164410
figshare,depression self-disclosure posts by Chinese social media users,10.6084/m9.figshare.33161168.v1,2026-08-05T06:03:11Z,https://figshare.com/articles/dataset/depression_self-disclosure_posts_by_Chinese_social_media_users/33161168
figshare,"<p>Estimated changes in physical function, depressive symptoms, and cognitive performance before and after falls and fall-related injuries.</p>",10.1371/journal.pmed.1005083.t002,2026-08-03T17:32:07Z,https://plos.figshare.com/articles/dataset/_p_Estimated_changes_in_physical_function_depressive_symptoms_and_cognitive_performance_before_and_after_falls_and_fall-related_injuries_p_/33147138
figshare,<b>The </b><b>r</b><b>elationship </b><b>between </b><b>social participation </b><b>patterns</b><b> </b><b>and </b><b>depression </b><b>among</b><b> </b><b>rural left-behind older adults</b><b>: </b><b>subgroup analysis</b><b> and </b><b>m</b><b>ediatin</b><b>g role of physical frailty</b>,10.6084/m9.figshare.33137930.v1,2026-08-02T10:48:48Z,https://figshare.com/articles/dataset/_b_The_b_b_r_b_b_elationship_b_b_between_b_b_social_participation_b_b_patterns_b_b_b_b_and_b_b_depression_b_b_among_b_b_b_b_rural_left-behind_older_adults_b_b_b_b_subgroup_analysis_b_b_and_b_b_m_b_b_ediatin_b_b_g_role_of_physical_frailty_b_/33137930
figshare,<p>Depression (PHQ-9) and anxiety (GAD-7) scores pre-MCE recall and recent recall.</p>,10.1371/journal.pone.0353453.t002,2026-07-29T17:22:04Z,https://plos.figshare.com/articles/dataset/_p_Depression_PHQ-9_and_anxiety_GAD-7_scores_pre-MCE_recall_and_recent_recall_p_/33113708
scholars_portal,"Replication Data and Code for: Great Depression, WWII and the College Gender Gap",10.5683/sp4/zps0mh,2026-07-22T16:21:32Z,https://doi.org/10.5683/SP4/ZPS0MH
zenodo,"Dataset for ""Development and Multidimensional IRT-Based Validation of the AI-Induced Occupational Anxiety Scale Among University Students""",10.5281/zenodo.20475015,2026-05-31,
zenodo,INVESTIGATING FOREIGN LANGUAGES ANXIETY AND ITS EFFECT ON ORAL PERFORMANCE,10.5281/zenodo.20406401,2026-05-27,
zenodo,CAUSES AND CONSEQUENCES OF SPEAKING ANXIETY AMONG UZBEK EFL LEARNERS: IMPLICATIONS FOR LANGUAGE TEACHING,10.5281/zenodo.20476733,2026-05-31,
zenodo,Statistical Anxiety,10.5281/zenodo.20435395,2026-05-28,
zenodo,INVESTIGATING THE CORRELATION BETWEEN FOREIGN LANGUAGE CLASSROOM ANXIETY (FLCA) AND SPEAKING PERFORMANCE AMONG ADULT ENGLISH LEARNERS IN NON-NATIVE ENVIRONMENTS,10.5281/zenodo.20514059,2026-06-02,
zenodo,"PSYCHOLOGICAL ASPECTS OF THE RELATIONSHIP BETWEEN ANXIETY, PERSONAL CHARACTERISTICS, AND THE DEVELOPMENT OF SOMATIC DISEASES",10.5281/zenodo.20524987,2026-06-03,
zenodo,Dataset Mental imagery and Anxiety,10.5281/zenodo.20287342,2026-05-19,
figshare,"<p>Effect sizes of main effects and interactions for PPTI, FS, SWLS.</p>",10.1371/journal.pone.0355614.t011,2026-08-12T17:40:01Z,https://plos.figshare.com/articles/dataset/_p_Effect_sizes_of_main_effects_and_interactions_for_PPTI_FS_SWLS_p_/33232455
figshare,"<p>Linear mixed models for PPTI, FS, SWLS.</p>",10.1371/journal.pone.0355614.t010,2026-08-12T17:40:00Z,https://plos.figshare.com/articles/dataset/_p_Linear_mixed_models_for_PPTI_FS_SWLS_p_/33232452
figshare,"<p><i>F</i>-tests for PPTI, FS, SWLS.</p>",10.1371/journal.pone.0355614.t009,2026-08-12T17:39:59Z,https://plos.figshare.com/articles/dataset/_p_i_F_i_-tests_for_PPTI_FS_SWLS_p_/33232449
figshare,"<p>Effect sizes of main effects and interactions for FQ, BAI, PAS, GAD7.</p>",10.1371/journal.pone.0355614.t008,2026-08-12T17:39:58Z,https://plos.figshare.com/articles/dataset/_p_Effect_sizes_of_main_effects_and_interactions_for_FQ_BAI_PAS_GAD7_p_/33232446
figshare,"<p>Linear mixed models for FQ, BAI, PAS, GAD-7.</p>",10.1371/journal.pone.0355614.t007,2026-08-12T17:39:57Z,https://plos.figshare.com/articles/dataset/_p_Linear_mixed_models_for_FQ_BAI_PAS_GAD-7_p_/33232443
figshare,"<p><i>F</i>-tests for FQ, BAI, PAS and GAD-7.</p>",10.1371/journal.pone.0355614.t006,2026-08-12T17:39:56Z,https://plos.figshare.com/articles/dataset/_p_i_F_i_-tests_for_FQ_BAI_PAS_and_GAD-7_p_/33232440
figshare,SPACE FOR ACADEMIC ANXIETY AND PERFECTIONISM,10.6084/m9.figshare.33152816.v1,2026-08-04T12:20:00Z,https://figshare.com/articles/dataset/SPACE_FOR_ACADEMIC_ANXIETY_AND_PERFECTIONISM/33152816
figshare,Validity and reliability of the Vietnamese version of the Index Dental Anxiety and Fear: A translation and validation study,10.6084/m9.figshare.33140489.v1,2026-08-03T03:05:48Z,https://figshare.com/articles/dataset/Validity_and_reliability_of_the_Vietnamese_version_of_the_Index_Dental_Anxiety_and_Fear_A_translation_and_validation_study/33140489
figshare,Code File for Exploratory Comparative TWAS of Cannabis Use Disorder and Anxiety Disorders Reveals Shared Bioenergetic Architecture and Nominal Divergence in Ageing-Related Pathways,10.6084/m9.figshare.33137771.v1,2026-08-02T07:50:36Z,https://figshare.com/articles/dataset/Code_File_for_Exploratory_Comparative_TWAS_of_Cannabis_Use_Disorder_and_Anxiety_Disorders_Reveals_Shared_Bioenergetic_Architecture_and_Nominal_Divergence_in_Ageing-Related_Pathways/33137771
figshare,A Nose-to-Brain Circuit Underlies Anxiety Regulation by Nasal Afferent Frequency in Mice,10.6084/m9.figshare.33136013.v1,2026-08-01T09:38:41Z,https://figshare.com/articles/dataset/A_Nose-to-Brain_Circuit_Underlies_Anxiety_Regulation_by_Nasal_Afferent_Frequency_in_Mice/33136013
figshare,"Dataset for ""Personalized Apology Strategies in Older Adult-Robot Interaction: The Dynamic Impact of Tech Anxiety and Forgiveness Propensity on Trust Repair""",10.6084/m9.figshare.32995892.v5,2026-07-31T10:32:13Z,https://figshare.com/articles/dataset/Dataset_for_Personalized_Apology_Strategies_in_Older_Adult-Robot_Interaction_The_Dynamic_Impact_of_Tech_Anxiety_and_Forgiveness_Propensity_on_Trust_Repair_/32995892
figshare,From Hesitation to Confidence: Longitudinal Changes in Medical Students’ Presentation Skills and Anxiety,10.6084/m9.figshare.33110519.v2,2026-07-30T08:30:48Z,https://figshare.com/articles/dataset/From_Hesitation_to_Confidence_Longitudinal_Changes_in_Medical_Students_Presentation_Skills_and_Anxiety/33110519
figshare,"<p>Factors related to the pre-operative surgical and anesthetic counselling, type of surgical procedure and the pre-operative internet search in relation to anxiety score. Results are expressed as number of patients in each group.</p>",10.1371/journal.pone.0354701.t005,2026-07-28T17:34:01Z,https://plos.figshare.com/articles/dataset/_p_Factors_related_to_the_pre-operative_surgical_and_anesthetic_counselling_type_of_surgical_procedure_and_the_pre-operative_internet_search_in_relation_to_anxiety_score_Results_are_expressed_as_number_of_patients_in_each_group_p_/33105700
figshare,<p>Personal and family members’ surgical and anesthetic history in relation to anxiety score. Results are expressed as number of patients in each group.</p>,10.1371/journal.pone.0354701.t004,2026-07-28T17:33:59Z,https://plos.figshare.com/articles/dataset/_p_Personal_and_family_members_surgical_and_anesthetic_history_in_relation_to_anxiety_score_Results_are_expressed_as_number_of_patients_in_each_group_p_/33105697
figshare,<p>Patients’ demographics and psychiatric history in relation to anxiety score. Results are expressed as number of patients in each group.</p>,10.1371/journal.pone.0354701.t003,2026-07-28T17:33:58Z,https://plos.figshare.com/articles/dataset/_p_Patients_demographics_and_psychiatric_history_in_relation_to_anxiety_score_Results_are_expressed_as_number_of_patients_in_each_group_p_/33105694
